"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"9",543135,"Eovaldi, Nathan","2021-09-08","98","9.2","0.000","0.000","0.000","0.000","0.000","0.124","0.134","0","3","93.3","21.5","1848","86.6","87.84","3","5","4","1.2","6.76","122","164","120","150","285","326","307"
"9",663556,"McClanahan, Shane","2021-06-20","86","10.5","0.000","0.000","0.000","0.000","0.000","0.084","0.089","0","3","88.1","-17.5","2222","90.0","91.41","2","6","3","1.4","6.76","113","155","103","153","279","309","298"
"8",592836,"Walker, Taijuan","2021-06-09","93","8.6","0.000","0.000","0.000","0.000","0.000","0.151","0.101","0","3","93.7","29.0","2128","88.7","88.03","1","4","4","-0.7","6.10","125","150","122","154","300","325","292"
"8",543135,"Eovaldi, Nathan","2021-06-14","81","9.9","0.000","0.000","0.000","0.000","0.000","0.025","0.028","0","3","95.9","-44.0","2152","93.8","94.36","2","6","2","0.6","6.60","121","155","121","152","283","327","305"
"8",543135,"Eovaldi, Nathan","2021-08-28","97","8.2","0.500","0.500","0.500","1.000","0.621","0.514","0.385","1","2","96.3","43.0","2027","88.8","89.68","1","3","5","0.9","6.68","119","162","117","153","302","329","298"
"8",621111,"Buehler, Walker","2021-07-17","93","8.6","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","3","74.0","74.0","2504","89.1","90.05","1","5","3","1.0","6.44","118","163","119","152","309","346","308"
"8",608331,"Fried, Max","2021-06-18","98","8.2","0.000","0.000","0.000","0.000","0.000","0.081","0.086","0","3","84.0","-22.7","2260","81.5","81.54","0","3","5","0.0","6.11","112","154","119","150","315","307","282"
"8",554430,"Wheeler, Zack","2021-08-30","95","8.4","0.000","0.000","0.000","0.000","0.000","0.058","0.065","0","3","66.6","35.3","2252","92.1","93.75","1","5","3","1.7","7.10","116","151","110","153","295","318","295"
"8",554430,"Wheeler, Zack","2021-08-08","108","7.4","0.000","0.000","0.000","0.000","0.000","0.069","0.072","0","3","79.7","-14.5","2302","94.6","95.78","1","4","4","1.2","7.11","126","153","106","151","279","317","288"
"8",608331,"Fried, Max","2021-09-24","98","8.2","0.000","0.000","0.000","0.000","0.000","0.130","0.134","0","3","81.8","17.5","2244","88.5","88.66","2","5","3","0.2","6.29","107","155","112","149","297","319","294"
"8",543135,"Eovaldi, Nathan","2021-04-02","89","9.0","0.500","0.000","1.000","0.500","0.440","0.036","0.040","1","2","77.4","-10.0","1905","88.7","89.21","3","5","3","0.5","6.59","93","144","96","146","278","311","300"
